Column1,DEF,FWD,GK,MID,element_type,now_cost,team,total_points,Arsenal,Aston Villa,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Leeds,Leicester,Liverpool,Man City,Man Utd,Newcastle,Norwich,Southampton,Spurs,Watford,West Ham,Wolves,Starting 11
Aaron Connolly,0,1,0,0,FWD,53,Brighton,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Aaron Cresswell,1,0,0,0,DEF,54,West Ham,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Aaron Lennon,0,0,0,1,MID,46,Burnley,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Aaron Ramsdale,0,0,1,0,GK,51,Arsenal,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Aaron Ramsey,0,0,0,1,MID,44,Aston Villa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Aaron Wan-Bissaka,1,0,0,0,DEF,51,Man Utd,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Abdoulaye Doucouré,0,0,0,1,MID,53,Everton,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Abu Kamara,0,1,0,0,FWD,45,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0
Adam Armstrong,0,1,0,0,FWD,57,Southampton,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Adam Forshaw,0,0,0,1,MID,45,Leeds,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Adam Idah,0,1,0,0,FWD,48,Norwich,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Adam Lallana,0,0,0,1,MID,53,Brighton,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Adam Masina,1,0,0,0,DEF,43,Watford,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Adam Webster,1,0,0,0,DEF,43,Brighton,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Adama Traoré,0,0,0,1,MID,56,Wolves,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Adedapo Awokoya-Mebude,0,1,0,0,FWD,45,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0
Ademola Lookman,0,0,0,1,MID,59,Leicester,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Adrian Blake,0,0,0,1,MID,45,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0
Adrián San Miguel del Castillo,0,0,1,0,GK,43,Liverpool,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Ainsley Maitland-Niles,0,0,0,1,MID,52,Arsenal,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ajibola Alese,1,0,0,0,DEF,40,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0
Albert Sambi Lokonga,0,0,0,1,MID,48,Arsenal,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alejandro Garnacho Ferreyra,0,0,0,1,MID,45,Man Utd,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Alex Iwobi,0,0,0,1,MID,58,Everton,78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alex Kirk,1,0,0,0,DEF,40,Arsenal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
Alex Kral,0,0,0,1,MID,44,West Ham,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Alex McCarthy,0,0,1,0,GK,43,Southampton,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Alex Nicolao Telles,1,0,0,0,DEF,49,Man Utd,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Alex Oxlade-Chamberlain,0,0,0,1,MID,58,Liverpool,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Alexandre Lacazette,0,1,0,0,FWD,81,Arsenal,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alexis Mac Allister,0,0,0,1,MID,51,Brighton,93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alfie Devine,0,0,0,1,MID,45,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0
Alireza Jahanbakhsh,0,0,0,1,MID,55,Brighton,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alisson Ramses Becker,0,0,1,0,GK,61,Liverpool,176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Allan Marques Loureiro,0,0,0,1,MID,43,Everton,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Allan Saint-Maximin,0,1,0,0,FWD,67,Newcastle,116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Alphonse Areola,0,0,1,0,GK,47,West Ham,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Amad Diallo,0,0,0,1,MID,50,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0
Andi Zeqiri,0,1,0,0,FWD,45,Brighton,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andre Gray,0,1,0,0,FWD,54,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Andreas Christensen,1,0,0,0,DEF,46,Chelsea,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andreas Pereira,0,0,0,1,MID,50,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Andreas Söndergaard,0,0,1,0,GK,39,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Andrew Omobamidele,1,0,0,0,DEF,39,Norwich,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Andrew Robertson,1,0,0,0,DEF,73,Liverpool,186,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
Andriy Yarmolenko,0,0,0,1,MID,50,West Ham,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Andros Townsend,0,0,0,1,MID,52,Everton,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
André Filipe Tavares Gomes,0,0,0,1,MID,49,Everton,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andy Lonergan,0,0,1,0,GK,39,Everton,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Angelo Ogbonna,1,0,0,0,DEF,49,West Ham,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Angus Gunn,0,0,1,0,GK,40,Norwich,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Anthony Elanga,0,0,0,1,MID,48,Man Utd,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Anthony Gordon,0,0,0,1,MID,47,Everton,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Anthony Mancini,0,0,0,1,MID,45,Burnley,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
Anthony Martial,0,1,0,0,FWD,76,Man Utd,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Antonio Rüdiger,1,0,0,0,DEF,61,Chelsea,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Anwar El Ghazi,0,0,0,1,MID,56,Everton,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Archie Gray,0,0,0,1,MID,45,Leeds,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0
Armando Broja,0,1,0,0,FWD,53,Southampton,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Armstrong Oko-Flex,0,0,0,1,MID,44,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Arthur Masuaku,1,0,0,0,DEF,44,West Ham,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Arthur Okonkwo,0,0,1,0,GK,39,Arsenal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ashley Barnes,0,1,0,0,FWD,52,Burnley,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ashley Fletcher,0,1,0,0,FWD,48,Watford,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Ashley Westwood,0,0,0,1,MID,52,Burnley,63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ashley Young,1,0,0,0,DEF,47,Aston Villa,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Asmir Begović,0,0,1,0,GK,40,Everton,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
